time_start,zone,mfrr_cm_up_price_eur_mw,mfrr_cm_up_volume_mw,mfrr_cm_down_price_eur_mw,mfrr_cm_down_volume_mw
2025-01-04T15:00:00,SN3,5.36,313.0,3.52,159.0
2025-01-04T15:00:00,SN4,5.36,3.0,4.0,14.0
2025-01-04T16:00:00,SN1,0.0,0.0,12.5,157.0
2025-01-04T16:00:00,SN2,0.0,0.0,9.1,574.0
2025-01-04T16:00:00,SN3,5.36,313.0,3.52,159.0
2025-01-04T16:00:00,SN4,5.36,3.0,6.07,9.0
2025-01-04T17:00:00,SN1,0.0,0.0,14.4,157.0
2025-01-04T17:00:00,SN2,0.0,0.0,10.0,569.0
2025-01-04T17:00:00,SN3,5.36,313.0,3.52,159.0
2025-01-04T17:00:00,SN4,5.36,3.0,6.07,9.0
2025-01-04T18:00:00,SN1,0.0,0.0,14.4,177.0
2025-01-04T18:00:00,SN2,0.0,0.0,7.9,552.0
2025-01-04T18:00:00,SN3,6.0,268.0,4.02,157.0
2025-01-04T18:00:00,SN4,6.0,3.0,4.02,9.0
2025-01-04T19:00:00,SN1,0.0,0.0,14.4,177.0
2025-01-04T19:00:00,SN2,0.0,0.0,7.7,550.0
2025-01-04T19:00:00,SN3,6.0,268.0,4.88,157.0
2025-01-04T19:00:00,SN4,6.0,3.0,4.88,9.0
2025-01-04T20:00:00,SN1,0.0,0.0,13.0,177.0
2025-01-04T20:00:00,SN2,0.0,0.0,6.7,564.0
2025-01-04T20:00:00,SN3,5.36,258.0,2.0,155.0
2025-01-04T20:00:00,SN4,5.36,3.0,4.0,14.0
2025-01-04T21:00:00,SN1,0.0,0.0,15.0,167.0
2025-01-04T21:00:00,SN2,0.0,0.0,10.0,569.0
2025-01-04T21:00:00,SN3,5.36,258.0,2.0,157.0
2025-01-04T21:00:00,SN4,5.36,3.0,4.0,14.0
2025-01-04T22:00:00,SN1,0.0,0.0,15.0,187.0
2025-01-04T22:00:00,SN2,0.0,0.0,15.0,546.0
2025-01-04T22:00:00,SN3,5.36,258.0,2.0,157.0
2025-01-04T22:00:00,SN4,5.36,3.0,4.0,14.0
2025-01-04T23:00:00,SN1,0.0,0.0,15.0,207.0
2025-01-04T23:00:00,SN2,0.0,0.0,15.0,539.0
2025-01-04T23:00:00,SN3,5.36,258.0,3.1,188.0
2025-01-04T23:00:00,SN4,5.36,3.0,4.43,14.0
2025-01-05T00:00:00,SN1,0.0,0.0,15.0,187.0
2025-01-05T00:00:00,SN2,0.0,0.0,10.0,562.0
2025-01-05T00:00:00,SN3,3.35,241.0,3.3,226.0
2025-01-05T00:00:00,SN4,3.35,3.0,3.3,14.0
2025-01-05T01:00:00,SN1,0.0,0.0,15.0,187.0
2025-01-05T01:00:00,SN2,0.0,0.0,10.0,560.0
2025-01-05T01:00:00,SN3,3.35,241.0,3.3,226.0
2025-01-05T01:00:00,SN4,3.35,3.0,3.3,14.0
2025-01-05T02:00:00,SN1,0.0,0.0,12.0,187.0
2025-01-05T02:00:00,SN2,0.0,0.0,10.0,550.0
2025-01-05T02:00:00,SN3,3.35,241.0,3.4,221.0
2025-01-05T02:00:00,SN4,3.35,3.0,3.4,19.0
2025-01-05T03:00:00,SN1,0.0,0.0,12.0,157.0
2025-01-05T03:00:00,SN2,0.0,0.0,10.0,568.0
2025-01-05T03:00:00,SN3,3.0,241.0,3.25,226.0
2025-01-05T03:00:00,SN4,3.0,3.0,3.25,14.0
2025-01-05T04:00:00,SN1,0.0,0.0,12.0,179.0
2025-01-05T04:00:00,SN2,0.0,0.0,10.0,568.0
2025-01-05T04:00:00,SN3,3.0,241.0,3.25,226.0
2025-01-05T04:00:00,SN4,3.0,3.0,3.25,14.0
2025-01-05T05:00:00,SN1,0.0,0.0,12.0,175.0
2025-01-05T05:00:00,SN2,0.0,0.0,10.0,575.0
2025-01-05T05:00:00,SN3,4.0,237.0,5.0,236.0
2025-01-05T05:00:00,SN4,4.0,3.0,5.0,4.0
2025-01-05T06:00:00,SN1,0.0,0.0,12.0,167.0
2025-01-05T06:00:00,SN2,0.0,0.0,6.5,568.0
